"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","1269","0.0-0.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","","","",""
"true","","","","","fullscreen","1","3489","0.0-1.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","","","",""
"","","","","","html-button-response","2","25191","0.0-2.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","21697","<p style=""font-size:20px;font-weight:bold;"">实验知情同意书</p><p style=""text-align:left;""><strong>实验名称：</strong>社会冲突研究</p><p style=""text-align:left;""><strong>主要研究者：</strong>韩晓春副教授（北京师范大学心理学部）</p><p style=""text-align:left;""><strong>联系方式：</strong>发送邮件至xiaochun.han@bnu.edu.cn</p><p style=""text-align:left;""><strong>研究目的：</strong>研究旨在了解人类面对群体冲突时的决策方式，以及相关的心理学特质。实验调查大约需要20分钟。</p><p style=""text-align:left;""><strong>实验流程：</strong>实验包含两部分。第一部分呈现一系列群体冲突场景，请你决定如何对这些冲突进行反应，大约需要10分钟完成。第二部分包含一系列人口统计学信息收集和心理学问卷，大约需要10分钟完成。</p><p style=""text-align:left;""><strong>参加及退出规则：</strong>参加本实验完全取决于您的个人意愿。在参与过程中，您可以随时退出，并且不用承担任何后果。</p><p style=""text-align:left;""><strong>隐私：</strong>本实验完全匿名进行，不会收集您的姓名或其他能够识别您身份的信息。实验中收集的作答仅用作科学研究使用，可能会在学术期刊/书籍上发表，或者用于教学，您的数据未来可能会和其他研究者或实验室分享，但您的个人身份不会被识别。</p><p style=""text-align:left;""><strong>实验报酬：</strong>实验完成后，您将获得15元人民币报酬，以感谢您的时间和努力。调查问卷中包含几道题目用以测验您作答时的认真度。只有完成全部实验，并且正确回答认真度测验的被试才能获得实验报酬。实验报酬将通过支付宝转账发放。</p><p style=""text-align:left;font-size:20px;""><strong>如果您同意以上实验知情同意书的内容，请点击'同意并且开始实验'按钮；否则请关闭浏览器界面，退出实验。</strong></p>","0",""
"","","","","","html-button-response","3","49357","0.0-3.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","24163","<p ><strong>实验任务一：</strong></p><p>请想象你的国家与另一个国家发生了军事冲突。</p><p>你是国家军队的指挥官，你将如何在冲突中进行决策。</p><p>具体来说，作为军队指挥官，请你决定是否发射导弹进行打击。</p><p>接下来，你会面对一系列场景，请仔细阅读每个场景，然后进行决策。</p><p>这部分实验任务大约需要10分钟。</p><p><strong>实验过程中，请集中注意力。</strong></p>","0",""
"","","","","","html-keyboard-response","4","50363","0.0-4.0-0.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","5","61096","0.0-4.0-1.0","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","10696","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>9名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/16.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","6","62105","0.0-4.0-0.1","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","7","68169","0.0-4.0-1.1","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","6055","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>4名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/16.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","8","69172","0.0-4.0-0.2","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","9","73272","0.0-4.0-1.2","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","4090","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>10名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/12.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","10","74281","0.0-4.0-0.3","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","11","80845","0.0-4.0-1.3","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","6548","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>3名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/15.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","12","81849","0.0-4.0-0.4","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","13","84979","0.0-4.0-1.4","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","3118","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>1名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/12.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","14","85986","0.0-4.0-0.5","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","15","88448","0.0-4.0-1.5","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2453","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>4名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/7.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","16","89457","0.0-4.0-0.6","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","17","92687","0.0-4.0-1.6","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","3217","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>5名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/9.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","18","93690","0.0-4.0-0.7","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","19","99162","0.0-4.0-1.7","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","5461","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>4名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/10.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","20","100170","0.0-4.0-0.8","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","21","104392","0.0-4.0-1.8","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","4205","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>2名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM4.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","22","105401","0.0-4.0-0.9","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","23","108350","0.0-4.0-1.9","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2939","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>6名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFF4.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","24","109354","0.0-4.0-0.10","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","25","111608","0.0-4.0-1.10","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2239","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>5名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM5.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","26","112616","0.0-4.0-0.11","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","27","115042","0.0-4.0-1.11","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2409","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>8名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFF6.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","28","116049","0.0-4.0-0.12","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","29","119130","0.0-4.0-1.12","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","3069","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>9名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM8.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","30","120137","0.0-4.0-0.13","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","31","122673","0.0-4.0-1.13","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2525","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>3名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/8.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","32","123682","0.0-4.0-0.14","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","33","125512","0.0-4.0-1.14","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","1815","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>10名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/13.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","34","126521","0.0-4.0-0.15","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","35","128582","0.0-4.0-1.15","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2043","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>4名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM8.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","36","129585","0.0-4.0-0.16","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","37","130908","0.0-4.0-1.16","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","1312","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>1名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM6.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","38","131914","0.0-4.0-0.17","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","39","133055","0.0-4.0-1.17","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","1121","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>3名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFF6.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","40","134065","0.0-4.0-0.18","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","41","136931","0.0-4.0-1.18","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2853","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>9名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFM7.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","42","137939","0.0-4.0-0.19","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","43","140781","0.0-4.0-1.19","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","2830","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>4名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/6.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","0",""
"","","","","","html-keyboard-response","44","141786","0.0-4.0-0.20","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","45","143549","0.0-4.0-1.20","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","1747","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>10名</strong> 敌国士兵，但会误杀附近的 <strong>1名</strong> 敌国平民。</p> <p>平民照片如下图所示。</p> <p></p> <img src='stimuli/faces/PFF5.jpg', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","46","144554","0.0-4.0-0.21","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
"","","","","","html-button-response","47","148819","0.0-4.0-1.21","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","4251","<p>作为军队的指挥官，你可以选择发射导弹杀死 <strong>7名</strong> 敌国士兵，但会炸毁附近的 <strong>1棵</strong> 敌国树木。</p> <p>树木的照片如下图所示。</p> <p></p> <img src='stimuli/trees/5.png', style='max-width: 30%;'> </img> <p><strong>你是否选择发射武器？</strong></p>","1",""
"","","","","","html-keyboard-response","48","149825","0.0-4.0-0.22","11","1","2022-11-27 09:40:32","49aca292d257f58668169b9fbab864ae","120.245.92.252","Mozilla/5.0 (Linux; Android 12; 22041216C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36","WebKit","Chrome","107.0.0.0","AndroidOS","12","null","<div style=""font-size:60px;"">+</div>","null",""
